Manager ID,Manager Name
422,INDIA INFOLINE LTD
423,INDIA INFOLINE LTD
424,INDIA INFOLINE SECURITIES PVT LTD
425,INDIA LIFE ASSET MANAGEMENT CO LTD
426,India Securities Ltd
427,INDIABULLS ASSET MANAGEMENT CO. LTD.
428,Indiabulls Asset Management Co. Ltd.
429,Indiabulls Securities Ltd.
430,IndiaNivesh Investment Managers Private Limited
431,Indira Securities Private Limited
432,INDSEC SECURITIES AND FINANCE LTD.
433,INDSEC SECURITIES AND FINANCE LTD.
434,IndusInd Bank Ltd.
435,INFINITE FINANCIAL SER.P.LTD.
436,INFINITY ALTERNATIVES INVESTMENT MANAGERS PRIVATE LIMITED
437,Infinity Alternatives Investment Managers Private Limited
438,INFRASTRUCTURE DEVELOPMENT FINANCE CO. L
439,INFRASTRUCTURE DEVELOPMENT FINANCE COMPA
440,INFRASTRUCTURE FINANCE COMPANY GUJARAT L
441,ING BANK N.V.
442,ING INVESTMENT MANAGEMENT (INDIA) PVT LT
443,ING VYSYA BANK LIMITED
444,INSIGHT ASSET MGT.I.PVT.LTD.
445,Integrated Finance Company Ltd.
446,INTERFACE FINANCIAL SERVICES LTD
447,Inventure Growth & Securities Limited
448,INVESCO ASSET MANAGEMENT (INDIA) PRIVATE LIMITED
449,Invesco Asset Management (India) Private Limited
450,INVEXA CAPITAL LLP
451,Ispat Finance Ltd.
452,ITC AGRO-TECH FINANCE AND INVESTMENTS
453,ithought Financial consulting LLP
454,ITI Alternate Funds Management Limited
455,Itus Capital Advisors Pvt Ltd
456,J.J. BHABHERA SHARE BROKERS PVT. LTD.
457,J.M.SHARE & STOCK BROKERS LTD
458,JAIN INVESTMENT ADVISORS PVT. LTD
459,Jain Investment Advisors Pvt. Ltd
460,JAIN SECURITIES INTERNATIONAL LTD.
461,JAINAM SHARE CONSULTANTS PVT. LTD.
462,JANAK MERCHANT SECURITIES PVT LTD
463,JANAK MERCHANT SECURITIES PVT LTD
464,Jasper Financial Services Private Limited
465,JAYPEE CAPITAL SERVICES LTD.
466,JEETAY INVESTMENTS PVT LTD
467,JEETAY INVESTMENTS PVT LTD
468,JIK Industries Limited.
469,JM FINANCIAL ASSET MANAGEMENT LTD.
470,JM FINANCIAL ASSET MANAGEMENT LTD.
471,JM FINANCIAL SERVICES LTD
472,JM FINANCIAL SERVICES LTD
473,JOINDRE CAPITAL SERVICES LIMITED
474,JOINDRE CAPITAL SERVICES LIMITED
475,JRG Securities Ltd
476,Julius Baer Wealth Advisors India Private Limited
477,K M CAPITAL LTD
478,Kantilal Chhaganlal Securities Pvt. Ltd
479,KARMA CAPITAL ADVISORS PVT. LTD.
480,KARMA CAPITAL ADVISORS PVT. LTD.
481,KARVY CAPITAL LIMITED
482,KARVY CAPITAL LIMITED
483,KARVY STOCK BROKING LTD.
484,KARVY STOCK BROKING LTD.
485,KB CAPITAL MARKETS PVT. LTD.
486,KB CAPITAL MARKETS PVT. LTD.
487,Kedia Shares & Stocks Brokers Ltd
488,KEYNOTE CAPITALS LIMITED
489,Keynote Capitals Limited
490,Keynote Corporate Services Limited
491,KHANDWALA SECURITIES LTD
492,KHANDWALA SECURITIES LTD
493,KIFS SECURITIES PVT. LTD.
494,KJMC Financial Services Ltd
495,KKR India Financial Services Private Limited
496,Klay Securities Private Limited
497,KOTAK INVESTMENT ADVISORS LIMITED
498,Kotak Investment Advisors Limited
499,KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD
500,KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD
501,Kotak Mahindra Bank Limited
502,KOTAK MAHINDRA FINANCE LTD
503,KOTAK SECURITIES LTD
504,KOTAK SECURITIES LTD
505,KRCHOKSEY SHARES AND SECURITIES PRIVATE LIMITED
506,KRCHOKSEY SHARES AND SECURITIES PRIVATE LIMITED
507,Kriis Portfolio Pvt. Ltd.
508,KRONE RESEARCH & BROKERAGE (P) LTD
509,KSEMA WEALTH MANAGEMENT PVT LTD
510,KUMAR SHARE BROKERS LIMITED
511,Kumar Share Brokers Limited
512,KUNVARJI FINSTOCK PRIVATE LIMITED
513,Kunvarji Finstock Private Limited
514,KUNVARJI FINSTOCK PVT. LTD
515,L&T CAPITAL MARKETS LTD
516,L&T INVESTMENT MANAGEMENT LIMITED
517,L&T INVESTMENT MANAGEMENT LIMITED
518,Laburnum Capital Advisors Private Limited
519,Laburnum Capital Advisors Private Limited
